name,description,type_id,power,energy,attack_speed_id
Acid,The opposing Pokémon is attacked with a spray of harsh acid.,14,10,7,1
Bite,The target is bitten with viciously sharp fangs.,2,6,7,1
Bubble,A spray of countless bubbles is jetted at the opposing Pokémon.,18,25,15,1
Bug Bite,The user bites the target.,1,5,7,1
Bullet Punch,The user strikes the target with tough punches as fast as bullets.,17,10,7,1
Confusion,The target is hit by a weak telekinetic force.,15,15,7,1
Cut,Slashes at the target.,13,12,7,1
Dragon Breath,The user exhales a mighty gust that inflicts damage.,3,6,7,1
Ember,The target is attacked with small flames.,7,10,7,1
Feint Attack,"The user approaches the target disarmingly, then throws a sucker punch.",2,12,7,1
Fire Fang,The user bites with flame-cloaked fangs.,7,10,4,1
Frost Breath,The user blows its cold breath on the target.,12,9,7,1
Fury Cutter,The target is slashed with scythes or claws.,1,3,12,1
Ice Shard,The user flash-freezes chunks of ice and hurls them at the target.,12,15,7,1
Karate Chop,The target is attacked with a sharp chop. Critical hits land more easily..,6,6,7,1
Lick,"The target is licked with a long tongue, causing damage.",9,5,7,1
Low Kick,A powerful low kick that makes the target fall over.,6,5,7,1
Metal Claw,The target is raked with steel claws.,17,8,7,1
Mud Shot,The user attacks by hurling a blob of mud at the target.,11,6,7,1
Mud Slap,The user hurls mud in the target's face to inflict damage and lower its accuracy.,11,15,9,1
Peck,The target is jabbed with a sharply pointed beak or horn.,8,10,10,1
Poison Jab,The target is stabbed with a tentacle or arm steeped in poison.,14,12,7,1
Poison Sting,The user stabs the target with a poisonous stinger.,14,6,4,1
Pound,"The target is physically pounded with a long tail, a foreleg, or the like.",13,7,7,1
Psycho Cut,The user tears at the target with blades formed by psychic power. Critical hits land more easily.,15,7,7,1
Quick Attack,The user lunges at the target at a speed that makes it almost invisible.,13,10,7,1
Razor Leaf,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily..,10,15,7,1
Rock Smash,The user attacks with a punch.,6,15,7,1
Rock Throw,The user picks up and throws a small rock at the target to attack.,16,12,7,1
Scratch,"Hard, pointed, sharp claws rake the target to inflict damage.",13,6,7,1
Shadow Claw,The user slashes with a sharp claw made from shadows. Critical hits land more easily..,9,11,7,1
Spark,The user throws an electrically charged tackle at the target.,4,7,4,1
Splash,The user just flops and splashes around to no effect at all.,18,0,7,1
Steel Wing,The target is hit with wings of steel.,17,15,4,1
Sucker Punch,This move enables the user to attack first.,2,7,4,1
Tackle,A physical attack in which the user charges and slams into the target with its whole body.,13,12,7,1
Thunder Shock,A jolt of electricity crashes down on the target to inflict damage.,4,5,7,1
Vine Whip,"The target is struck with slender, whiplike vines to inflict damage.",10,7,7,1
