pokemon_id,attack_id
1,36
1,38
1,98
1,105
1,109
2,27
2,38
2,98
2,109
2,111
3,27
3,38
3,94
3,109
3,111
4,9
4,30
4,70
4,71
4,73
5,9
5,30
5,69
5,70
5,73
6,9
6,40
6,62
6,68
6,73
7,3
7,36
7,45
7,46
7,122
8,2
8,39
8,45
8,79
8,82
9,2
9,39
9,74
9,79
9,82
10,4
10,36
10,114
11,4
11,36
11,114
12,4
12,6
12,53
12,100
12,107
13,4
13,23
13,114
14,4
14,23
14,114
15,4
15,22
15,42
15,109
15,124
16,26
16,36
16,42
16,43
16,120
17,34
17,40
17,42
17,43
17,120
18,34
18,40
18,42
18,43
18,78
19,26
19,36
19,48
19,59
19,81
20,2
20,26
20,59
20,80
20,81
21,21
21,26
21,42
21,65
21,120
22,21
22,34
22,42
22,66
22,120
23,1
23,23
23,75
23,109
23,123
24,1
24,2
24,57
24,75
24,110
25,26
25,37
25,61
25,117
25,119
26,32
26,37
26,50
26,117
26,118
27,19
27,30
27,59
27,102
27,103
28,18
28,19
28,54
28,67
28,103
29,2
29,23
29,48
29,96
29,109
30,2
30,23
30,59
30,96
30,109
31,2
31,22
31,67
31,110
31,113
32,21
32,23
32,48
32,77
32,109
33,22
33,23
33,59
33,77
33,109
34,13
34,22
34,67
34,89
34,110
35,24
35,41
35,48
35,60
35,90
36,24
36,41
36,58
36,90
36,100
37,9
37,26
37,48
37,71
37,73
38,9
38,10
38,68
38,73
38,76
39,10
39,24
39,48
39,58
39,60
40,10
40,24
40,58
40,80
40,95
41,2
41,26
41,43
41,96
41,109
42,2
42,40
42,43
42,93
42,96
43,1
43,27
43,90
43,105
43,109
44,1
44,27
44,90
44,94
44,109
45,1
45,27
45,90
45,94
45,111
46,4
46,30
46,56
46,105
46,124
47,4
47,13
47,56
47,111
47,124
48,4
48,6
48,96
48,99
48,107
49,4
49,6
49,53
49,96
49,100
50,20
50,30
50,59
50,91
50,103
51,20
51,35
51,67
51,91
51,113
52,2
52,30
52,48
52,57
52,92
53,10
53,30
53,92
53,95
53,97
54,39
54,41
54,46
54,55
54,99
55,6
55,39
55,79
55,82
55,100
56,15
56,30
56,50
56,55
56,87
57,15
57,17
57,55
57,87
57,92
58,2
58,9
58,48
58,72
58,73
59,2
59,11
59,54
59,68
59,73
60,3
60,19
60,48
60,52
60,91
61,3
61,19
61,52
61,91
61,104
62,3
62,19
62,79
62,83
62,115
63,41
63,101
63,106
63,107
64,6
64,25
64,58
64,99
64,106
65,6
65,25
65,58
65,100
65,106
66,15
66,17
66,50
66,55
66,87
67,15
67,17
67,50
67,55
67,115
68,5
68,15
68,55
68,113
68,115
69,1
69,38
69,98
69,109
69,123
70,1
70,27
70,98
70,105
70,109
71,1
71,27
71,86
71,109
71,111
72,3
72,23
72,52
72,122
72,123
73,1
73,22
73,47
73,79
73,110
74,29
74,36
74,59
74,102
74,103
75,20
75,29
75,59
75,102
75,113
76,20
76,29
76,44
76,67
76,113
77,9
77,36
77,68
77,71
77,72
78,9
78,17
78,66
78,68
78,76
79,6
79,39
79,100
79,101
79,122
80,6
80,39
80,82
80,100
80,122
81,32
81,37
81,61
81,88
81,119
82,32
82,37
82,61
82,74
82,88
83,7
83,13
83,42
83,43
83,86
84,21
84,26
84,42
84,65
84,116
85,10
85,34
85,42
85,43
85,65
86,14
86,16
86,45
86,46
86,84
87,12
87,14
87,45
87,47
87,84
88,20
88,22
88,91
88,108
88,109
89,16
89,22
89,57
89,75
89,110
90,14
90,36
90,52
90,84
90,122
91,12
91,14
91,47
91,79
91,84
92,16
92,35
92,57
92,93
92,109
93,16
93,31
93,57
93,106
93,109
94,31
94,35
94,57
94,106
94,109
95,29
95,36
95,85
95,102
95,113
96,6
96,24
96,99
96,100
96,101
97,6
97,41
97,100
97,101
97,106
98,3
98,19
98,52
98,121
98,122
99,18
99,19
99,121
99,122
99,124
100,32
100,36
100,61
100,107
100,119
101,32
101,36
101,61
101,80
101,119
102,6
102,44
102,100
102,105
103,6
103,41
103,100
103,105
103,111
104,20
104,28
104,49
104,54
104,59
105,20
105,28
105,49
105,59
105,67
106,17
106,28
106,50
106,87
106,113
107,5
107,28
107,50
107,69
107,83
107,118
108,16
108,41
108,80
108,98
108,112
109,36
109,57
109,108
109,109
110,36
110,57
110,106
110,109
111,20
111,28
111,54
111,77
111,112
112,20
112,28
112,67
112,89
112,113
113,24
113,41
113,58
113,80
113,100
114,38
114,98
114,109
114,111
115,17
115,20
115,50
115,67
115,112
116,3
116,39
116,52
116,63
116,74
117,8
117,39
117,47
117,63
117,79
118,19
118,21
118,46
118,77
118,122
119,21
119,22
119,66
119,84
119,89
120,36
120,39
120,52
120,97
120,116
121,36
121,39
121,79
121,97
121,100
122,6
122,41
122,99
122,100
122,106
123,13
123,34
123,53
123,92
123,124
124,12
124,24
124,64
124,83
124,101
125,17
125,37
125,117
125,118
125,119
126,9
126,15
126,68
126,69
126,73
127,13
127,28
127,115
127,121
127,124
128,36
128,41
128,67
128,77
128,85
129,33
129,114
130,2
130,63
130,79
130,120
131,12
131,14
131,47
131,63
131,82
132,24
132,114
133,26
133,36
133,48
133,59
133,116
134,39
134,46
134,79
134,122
135,37
135,61
135,117
135,119
136,9
136,68
136,73
136,76
137,26
137,36
137,61
137,99
137,107
138,19
138,39
138,44
138,51
138,103
139,19
139,39
139,44
139,79
139,102
140,19
140,30
140,44
140,45
140,103
141,13
141,19
141,44
141,113
141,122
142,2
142,34
142,44
142,80
142,85
143,16
143,41
143,48
143,67
143,80
144,12
144,47
144,82
144,84
145,37
145,61
145,117
145,119
146,9
146,68
146,73
146,76
147,2
147,8
147,46
147,120
147,123
148,8
148,46
148,63
148,123
149,8
149,34
149,62
149,63
149,80
150,6
150,25
150,80
150,100
150,106
151,24
151,47
151,100
