pokemon_id,type_id
1,10
2,10
3,10
4,7
5,7
6,7
7,18
8,18
9,18
10,1
11,1
12,1
13,1
14,1
15,1
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,14
24,14
25,4
26,4
27,11
28,11
29,14
30,14
31,14
32,14
33,14
34,14
35,5
36,5
37,7
38,7
39,13
40,13
41,14
42,14
43,10
44,10
45,10
46,1
47,1
48,1
49,1
50,11
51,11
52,13
53,13
54,18
55,18
56,6
57,6
58,7
59,7
60,18
61,18
62,18
63,15
64,15
65,15
66,6
67,6
68,6
69,10
70,10
71,10
72,18
73,18
74,16
75,16
76,16
77,7
78,7
79,18
80,18
81,4
82,4
83,13
84,13
85,13
86,18
87,18
88,14
89,14
90,18
91,18
92,9
93,9
94,9
95,16
96,15
97,15
98,18
99,18
100,4
101,4
102,10
103,10
104,11
105,11
106,6
107,6
108,13
109,14
110,14
111,11
112,11
113,13
114,10
115,13
116,18
117,18
118,18
119,18
120,18
121,18
122,15
123,1
124,12
125,4
126,7
127,1
128,13
129,18
130,18
131,18
132,13
133,13
134,18
135,4
136,7
137,13
138,16
139,16
140,16
141,16
142,16
143,13
144,12
145,4
146,7
147,3
148,3
149,3
150,15
151,15
1,14
2,14
3,14
6,8
12,8
13,14
14,14
15,14
16,8
17,8
18,8
21,8
22,8
31,11
34,11
39,5
40,5
41,8
42,8
43,14
44,14
45,14
46,10
47,10
48,14
49,14
62,6
69,14
70,14
71,14
72,14
73,14
74,11
75,11
76,11
79,15
80,15
81,17
82,17
83,8
84,8
85,8
87,12
91,12
92,14
93,14
94,14
95,11
102,15
103,15
111,16
112,16
121,15
122,5
123,8
124,15
130,8
131,12
138,18
139,18
140,18
141,18
142,8
144,8
145,8
146,8
149,8
